album_id,artist_id
0iv3gV69jA1YY2H0UTy9yF,0LyfQWJT6nXafLPZqxe9Of
3PkdGRruLnJ9zCtANiDrpB,3eskO5m0H4yiF64vRySBjr
7vCgqJfW4lFgMUFBPPcefa,6ohvzFHYmLd05kyYhLui5K
5OnA6kyXMAxx6SEPPSPcGW,57bUPid8xztkieZfS7OlEV
2BtE7qm1qzM80p9vLSiXkj,3WrFJ7ztbogyGnTHbHJFl2
4upZ5RN2GZaWwYvGYhjjWO,17XXKfRBMCWvLrqGoNkJXm
67Eq3nfl1km9s5ig76Cc8B,3koiLjNrgRTNbOwViDipeA
6lPb7Eoon6QPbscWbMsk6a,2qFr8w5sWUITRlzZ9kZotF
5l0obd98SI7MRd84oZzygi,4dNs4gsyisVixgpkjyvD8D
7dsWupQRlFuhG8FGiQAUjC,44NX2ffIYHr6D4n7RaZF7A
5DBVTohmpLwz4XwUGZNAQZ,1Pe5hlKMCTULjosqZ6KanP
0dN5u2QV1pu1rS1IHrUumK,5ojumrbWWohLIuzArVoyDs
2WcfgOosdw0bN9g9twoA4K,0GbqW5TJr7n4is453VOY4C
0pjXrAIB2gf5rvJodKUJD6,4zmxet3ZPdSmL3Xyv1Wegb
1gwIi79sDQbr3sj7dRtQf2,0LyfQWJT6nXafLPZqxe9Of
4zjzKwovnTwVxg4ckO6YGU,0rXI0q8Cahq6numvPlloaq
15Tn9yu64pxuvejk5FNAaG,6waa8mKu91GjzD4NlONlNJ
4qK4QZUSp8QdoMEm9mrzyA,6bOYtKnpLPQSfMpS2ilotK
6jt0AE3c2ZC5e9TJA2Duo2,2JSjCHK79gdaiPWdKiNUNp
2xChJllpG0ViRikaH3Dy8R,0LyfQWJT6nXafLPZqxe9Of
5HXA9cDdEP0USoHlIFSSOE,1iBpJEBrSFXCtPOc5OUZiY
77VEDrJrgHdCr6Ju3N4AQp,1UUYAQ9LiRsZF0ZukQNWXM
3LP0jc2J6fvhpVTKWzvFUk,4o6DE8hZbgTTInaDQDEQVa
7rDEh3q8XOYbt31qr2Bfq3,4ZSzroBNV7HzBDO9aohuF1
2cHQPNWdtJznAl3u7H4Tso,3cVNs5Gq8t5axQAv0jTPXo
0pjXrAIB2gf5rvJodKUJD6,4zmxet3ZPdSmL3Xyv1Wegb
4pvPAWiVRHdnVXkOt49sKk,6nKqt1nbSBEq3iUXD1Xgz8
