50,1Z93NZrfSuKN9M02WWfJL3,Playlist: The Best Of Shirley Bassey,album,090VebphoycdEyH165iMqc,Shirley Bassey,46.0,2016-05-06,spotify:album:1Z93NZrfSuKN9M02WWfJL3
51,0Bf7v7RTkbrXDgs3T2SWh7,Down in the Boondocks,album,4WFTfNjxQYskBioYk39r9n,Billy Joe Royal,26.0,1965,spotify:album:0Bf7v7RTkbrXDgs3T2SWh7
52,0eZRwn50QC0Xto4rjeuKPz,Baby the Rain Must Fall,album,4GxVmha4ELBwUE4bPyChzS,Glenn Yarbrough,21.0,1965,spotify:album:0eZRwn50QC0Xto4rjeuKPz
53,6rCs7j80iLCMuLu1rbeBiS,The Karaoke Channel - Sing Catch Us If You Can Like the Dave Clark Five,single,5UloVKzUNJcjORzhhTWWiJ,The Karaoke Channel,1.0,2015-08-17,spotify:album:6rCs7j80iLCMuLu1rbeBiS
54,1vANZV20H5B4Fk6yf7Ot9a,Beatles For Sale (Remastered),album,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,59.0,1964-12-04,spotify:album:1vANZV20H5B4Fk6yf7Ot9a
55,3qWJ6R8Wg3PPCAOToluwPJ,Introducing The Beau Brummels,album,4DQj1q0unpi9KF8jO1Wqks,The Beau Brummels,31.0,1965,spotify:album:3qWJ6R8Wg3PPCAOToluwPJ
56,55lhlnI7fiThAonEWFpNub,"You Turn Me On! Ian Whitcomb's Mod, Mod Music Hall",album,7GYdSOyUNp70L6kXepVAzJ,Ian Whitcomb,9.0,2005-11-18,spotify:album:55lhlnI7fiThAonEWFpNub
57,0iv3gV69jA1YY2H0UTy9yF,Motown: The Complete No. 1's,album,0LyfQWJT6nXafLPZqxe9Of,Various Artists,64.0,2008-01-01,spotify:album:0iv3gV69jA1YY2H0UTy9yF
58,5d5JSnI9P9ADeXR4qcx7xl,The Best Of Gary Lewis And The Playboys,album,0XTxadWXVyfB8eTIYOjMYj,Gary Lewis & The Playboys,43.0,2011-01-21,spotify:album:5d5JSnI9P9ADeXR4qcx7xl
59,5JzAXMEtvBUC4qctJtwzhk,Kinda Kinks (Deluxe Edition),album,1SQRv42e4PjEYfPhS0Tk9E,The Kinks,54.0,1965-03-05,spotify:album:5JzAXMEtvBUC4qctJtwzhk
60,5d5JSnI9P9ADeXR4qcx7xl,The Best Of Gary Lewis And The Playboys,album,0XTxadWXVyfB8eTIYOjMYj,Gary Lewis & The Playboys,43.0,2011-01-21,spotify:album:5d5JSnI9P9ADeXR4qcx7xl
61,0fT3ySwzj1bPUWINB07MoI,Kinks (Deluxe Edition),album,1SQRv42e4PjEYfPhS0Tk9E,The Kinks,67.0,1964-02-02,spotify:album:0fT3ySwzj1bPUWINB07MoI
