artist_id,artist_name,followers,popularity
3IZrrNonYELubLPJmqOci2,Nancy Sinatra,137221.0,65.0
0hF0PwB04hnXfYMiZWfJzy,Jimmy Ruffin,36933.0,54.0
1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,1839748.0,82.0
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,4789679.0,89.0
5X3TuTi9OIsJXMGxPwTKM2,The Young Rascals,18655.0,48.0
4UD9XOagGdElo7BpVzLltZ,New Vaudeville Band,648.0,18.0
01hRNr3yF5bYnPq4wZ88iI,Tommy James & The Shondells,41738.0,56.0
3rRmDmzPcAFwcUDvG5gBqO,Percy Sledge,112115.0,60.0
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,3138558.0,84.0
6nKqt1nbSBEq3iUXD1Xgz8,Petula Clark,42291.0,52.0
5bLcI9Jo6RyrrHzG9veVyn,Lou Christie,6900.0,37.0
57xdnSVt4ahJCIXYLieQ25,The Troggs,51720.0,53.0
32HPpJAhgnGPT3V7UOggzi,Paul Revere & The Raiders,25330.0,48.0
6vLlQYujOujIrm7zAKzEdG,Donovan,123638.0,63.0
2uNpV18izVIP7DNusoWbT5,Bobby Hebb,8637.0,52.0
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,4789679.0,89.0
5ojumrbWWohLIuzArVoyDs,The Happenings,2817.0,35.0
57bUPid8xztkieZfS7OlEV,The Supremes,367058.0,70.0
05sRO4JdAtJGyZQOTb6kSL,Sam The Sham & The Pharaohs,7442.0,47.0
4d22O5s2UK1KzIoZRR8NZk,Mitch Ryder and The Detroit Wheels,285.0,9.0
3oDbviiivRWhXwIE8hxkVV,The Beach Boys,883066.0,76.0
2VkASgJ3IjpMHG5aYXx4t2,Wayne Fontana & The Mindbenders,2639.0,34.0
5zaXYwewAXedKNCff45U5l,Dusty Springfield,126964.0,67.0
2AYmrUFn1ATSfFSx3B4tvb,The Capitols,1152.0,35.0
5Xh0e6sCvMXJUNVa4oynvx,Sandy Posey,2171.0,32.0
4qnb4cn5aykCACoyuCirGg,The Cyrkle,3629.0,36.0
1QAGLCom3FHTTiuRFsjzOj,Carla Thomas,12616.0,58.0
382aCtCMEd2Rg2DmcU9xw9,The Left Banke,4414.0,34.0
7CCn4PFRRRZF127jtCBAUe,The Lovin' Spoonful,71397.0,58.0
2YoQIXRoQoitW4Sy6hR8AQ,The Outsiders,1987.0,32.0
7t4XHvWfj0XtEB8SNFeALw,Tommy Roe,10405.0,44.0
7t4XHvWfj0XtEB8SNFeALw,Tommy Roe,10405.0,44.0
6waa8mKu91GjzD4NlONlNJ,The Hollies,193089.0,67.0
1qO2mRQM4zbksO586oM0W7,James & Bobby Purify,3883.0,43.0
0uUNzXylqsZdmFDwdxaP1V,B.J. Thomas,28779.0,56.0
3RwQ26hR2tJtA8F9p2n7jG,The Temptations,633213.0,73.0
4BM6qze88exQPVILQpcYpj,The Standells,4405.0,35.0
5W6gs1V54kOPUgBxBLkY1z,Bob Lind,1055.0,29.0
70cRZdQywnSFp9pnc2WTCE,Simon & Garfunkel,934839.0,77.0
1eYhYunlNJlDoQhtYBvPsi,Ray Charles,835946.0,72.0
3TiISqKS6ESlMQ4WFfZJw2,Johnny Rivers,30605.0,48.0
70cRZdQywnSFp9pnc2WTCE,Simon & Garfunkel,934839.0,77.0
6lHC2EQMEMZiEmSfFloarn,Peter And Gordon,11690.0,44.0
70cRZdQywnSFp9pnc2WTCE,Simon & Garfunkel,934839.0,77.0
7CCn4PFRRRZF127jtCBAUe,The Lovin' Spoonful,71397.0,58.0
0eEcbHGsAvOTCZzF5pg8GD,Robert Parker,3894.0,42.0
7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,1735141.0,80.0
72OaDtakiy6yFqkt4TsiFt,Cher,388308.0,70.0
3oDbviiivRWhXwIE8hxkVV,The Beach Boys,883066.0,76.0
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,3138558.0,84.0
6gZVflqhSHhG3MjYrf1dOv,The Surfaris,9266.0,41.0
57WXdjUf5Vlq3klNZegeTP,Count Five,6359.0,42.0
3RwQ26hR2tJtA8F9p2n7jG,The Temptations,633213.0,73.0
,,,
32HPpJAhgnGPT3V7UOggzi,Paul Revere & The Raiders,25330.0,48.0
1MAzauDIpGIacm1p6x2zQe,Deon Jackson,285.0,24.0
3Y9xnCbmXGhmpJymwpnxCz,Crispian St. Peters,2037.0,30.0
4cPHsZM98sKzmV26wlwD2W,Brenda Lee,54325.0,63.0
6WtWmLPWn1imbcisSfmBvy,The Ray Conniff Singers,6225.0,52.0
7tIs7rxqGuBvWMhIIigunf,David Houston,1884.0,27.0
0EodhzA6yW1bIdD5B4tcmJ,Bobby Darin,95833.0,64.0
0MponVSpW81oLvJZ53vYZH,The Marvelettes,61829.0,60.0
7mEIug7XUlQHikrFxjTWes,Neil Diamond,324429.0,71.0
0En4EEcDMJ5kaUCf1aZ9js,Lee Dorsey,9746.0,53.0
2JSjCHK79gdaiPWdKiNUNp,Dionne Warwick,149520.0,63.0
1zJBFCev9UwOMcrZsLi2od,Lou Rawls,37266.0,53.0
3oDbviiivRWhXwIE8hxkVV,The Beach Boys,883066.0,76.0
0NRN3tnDVDspHMCfyu2ZwT,The Shadows Of Knight,5445.0,35.0
57bUPid8xztkieZfS7OlEV,The Supremes,367058.0,70.0
74ASZWbe4lXaubB36ztrGX,Bob Dylan,1762168.0,79.0
3iBuBivHItWMpdiVmLT0uB,The Sandpipers,2437.0,31.0
0N5PyKJzS3M1XNlaCL7bbE,Wilson Pickett,135725.0,63.0
0xiwq3fF6bTvpEgIoKM4Al,The Band of the Royal Air Force Regiment feat. RAF Shades of Blue,2.0,0.0
6lHC2EQMEMZiEmSfFloarn,Peter And Gordon,11690.0,44.0
2VIoWte1HPDbZ2WqHd2La7,The Turtles,105054.0,64.0
0Ma8KxtvoIDSU5fHtuTS9F,The Vogues,7241.0,41.0
46XFR4hn1MmBKyvwxxEFFo,Los Bravos del Norte,1753.0,42.0
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,4789684.0,89.0
48YxSlb23RAaCd4RyHcV9V,Herman's Hermits,60626.0,55.0
36hwOoNPgnsKnhoMBYpJrJ,Slim Harpo,13051.0,41.0
0XTxadWXVyfB8eTIYOjMYj,Gary Lewis & The Playboys,17084.0,43.0
0QRgfCLzSR9GyCjXboWQTA,Chris Montez,4717.0,46.0
5XoM6cP8fQykllfuK5V5TR,The Bobby Fuller Four,4541.0,45.0
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,4789684.0,89.0
32HPpJAhgnGPT3V7UOggzi,Paul Revere & The Raiders,25330.0,48.0
09L3cUdx0hq6qn5bKuJJ4I,Herb Alpert & The Tijuana Brass,34094.0,53.0
2lxX1ivRYp26soIavdG9bX,The Yardbirds,154933.0,59.0
0N5PyKJzS3M1XNlaCL7bbE,Wilson Pickett,135725.0,63.0
0jYKX08u1XxmHrl5TdM2QZ,Lulu,16741.0,49.0
3KGQvnOoqUHi3KxKQMZtXr,The Box Tops,23493.0,53.0
