"""what the world needs now is love""",1965.0,0.863,0.444,187200.0,0.386,"""5td7WsBur5opModo1lB1X3""",1.06e-06,1.0,0.113,-9.746,1.0,0.0291,105.806,4.0,0.437
"""its not unusual""",1965.0,0.606,0.506,119267.0,0.701,"""5Fwif6oyL2EjXAFTGL909U""",0.0,0.0,0.196,-8.434,1.0,0.0483,91.664,4.0,0.901
"""shes about a mover""",1965.0,0.169,0.632,145147.0,0.805,"""40Fs8G1qws6fP8Zz0Tm1u3""",3.46e-06,4.0,0.068,-5.063,1.0,0.0286,89.641,4.0,0.856
"""shake""",1965.0,0.772,0.543,173613.0,0.839,"""5naGmbqRY9AlitnRgbw0uX""",0.0,5.0,0.3,-7.544,1.0,0.0653,151.452,4.0,0.769
"""wonderful world""",1965.0,0.21,0.71,121706.0,0.722,"""43LT5KZkhHbSqOjOUeQbh6""",1.26e-05,0.0,0.297,-7.659,1.0,0.053,141.877,4.0,0.964
"""nowhere to run""",1965.0,0.148,0.648,171933.0,0.922,"""0hA6gpx876uv2z7vROkFzw""",0.00264,2.0,0.1,-2.293,0.0,0.0557,129.378,4.0,0.962
"""heart full of soul""",1965.0,0.229,0.494,147893.0,0.666,"""0AiuEo7FCxP2y2WTOpLPe5""",5.69e-05,9.0,0.0469,-9.743,0.0,0.0351,140.832,4.0,0.704
"""love potion no 9""",1965.0,0.477,0.768,125733.0,0.871,"""0oNa58FDHzTit6QUpfKk1S""",4.33e-05,2.0,0.138,-6.287,1.0,0.0552,125.495,4.0,0.946
"""laurie strange things happen""",1965.0,0.687,0.686,186347.0,0.486,"""1UO56LXSG81eZJYAhjtv7G""",0.0,5.0,0.0922,-5.771,1.0,0.0288,119.521,4.0,0.377
"""baby dont go""",1965.0,0.473,0.54,194400.0,0.492,"""15CatBJBZlCFWkZSXbwzzy""",0.0,0.0,0.046,-9.087,1.0,0.0286,121.832,4.0,0.571
"""it aint me babe""",1965.0,0.253,0.418,133960.0,0.547,"""5Vy8PKv7gS5WDR1EUuk0Bf""",0.0,7.0,0.0941,-5.992,1.0,0.0335,122.096,4.0,0.567
"""tell her no""",1965.0,0.339,0.757,126600.0,0.435,"""5FNRngWeBEpR8BiGLlNm2l""",0.396,8.0,0.0997,-10.139,0.0,0.032,135.639,4.0,0.949
"""i go to pieces""",1965.0,0.624,0.579,145267.0,0.618,"""2yi1HjKqErtxTjK2v5TtjW""",1.29e-05,4.0,0.412,-8.237,1.0,0.0275,112.07,4.0,0.874
"""red roses for a blue lady""",1965.0,0.78,0.364,170360.0,0.332,"""2U8i316GHJMluI42xqbThK""",0.0,11.0,0.215,-11.507,1.0,0.0311,110.259,4.0,0.271
"""dont just stand there""",1965.0,0.61,0.574,163160.0,0.256,"""1YhNCQ3XOdTCZgubfX8PgB""",7.7e-05,7.0,0.1,-15.044,1.0,0.0298,82.331,3.0,0.563
"""the tracks of my tears""",1965.0,0.664,0.488,174360.0,0.335,"""3AR9uXc8JbOVfe92kzmJTH""",0.0,7.0,0.173,-10.789,1.0,0.0268,96.333,4.0,0.704
"""too many rivers""",1965.0,0.635,0.623,168960.0,0.302,"""54NQrfMVjRkM5M9I3St3yC""",2.01e-05,5.0,0.113,-12.655,1.0,0.0296,97.882,4.0,0.629
"""i like it like that""",1965.0,0.724,0.672,96916.0,0.531,"""674IUrBzxUunGLl7ycT1HL""",0.0,9.0,0.212,-8.037,1.0,0.0638,142.198,4.0,0.848
"""little things""",1965.0,0.226,0.876,149133.0,0.535,"""5OuaVW3oX6BJQRFqGxbiwc""",0.00242,2.0,0.0849,-14.025,1.0,0.0368,129.166,4.0,0.913
"""true love ways""",1965.0,0.374,0.357,159107.0,0.476,"""2fGe1krTxovW7xsgiaHkrN""",4.65e-06,9.0,0.333,-9.592,1.0,0.036,113.403,4.0,0.448
"""its the same old song""",1965.0,0.151,0.715,166133.0,0.898,"""4Gze0ue7aBwvQjkkkIGE9g""",0.0,2.0,0.0327,-2.205,0.0,0.0313,126.336,4.0,0.992
"""youve got your troubles""",1965.0,0.28,0.628,208144.0,0.764,"""4g2B1iGsws8hpI5c2Rx7Ko""",0.0,4.0,0.415,-9.184,1.0,0.0319,131.469,4.0,0.601
"""hold what youve got""",1965.0,0.804,0.529,187840.0,0.218,"""545PsoburZUtR9z75I2wjj""",0.0,7.0,0.117,-16.522,1.0,0.0435,101.735,3.0,0.311
"""we gotta get out of this place""",1965.0,0.452,0.53,194600.0,0.62,"""5geF5xzPGHxpmk9BDBHphZ""",1.2e-06,5.0,0.0965,-5.378,1.0,0.0337,124.013,4.0,0.442
"""laugh laugh""",1965.0,0.299,0.486,176733.0,0.683,"""66V3speCvzVe6lUnIezZ0J""",0.0,1.0,0.0987,-8.768,0.0,0.0541,128.723,4.0,0.733
"""the last time""",1965.0,0.129,0.329,221493.0,0.926,"""7foiOmd1Je7Z0D3TaZCDro""",0.852,9.0,0.745,-5.146,1.0,0.0629,167.435,4.0,0.367
