artist_id,genres
1SQRv42e4PjEYfPhS0Tk9E,"[album rock, art rock, blues-rock, british blues, british invasion, classic rock, dance rock, folk christmas, folk rock, glam rock, mellow gold, protopunk, psychedelic rock, rock, roots rock, singer-songwriter, soft rock]"
0iVed2Qu7dmL0pIYCj1Xw8,"[brill building pop, bubblegum pop, folk rock, merseybeat, traditional folk]"
1T0wRBO0CK0vK8ouUMqEl5,"[adult standards, brill building pop, british invasion, christmas, mellow gold]"
3A2UXqQgMDJ3YNvLPyX5NW,"[classic garage rock, country rock, pub rock, roots rock, swamp pop]"
6hnWRPzGGKiapVX1UCdEAC,"[adult standards, brill building pop, chicago soul, christmas, classic funk rock, funk, jazz blues, mellow gold, memphis soul, motown, quiet storm, rock-and-roll, singer-songwriter, soul, soul blues, soul christmas, southern soul, vocal jazz]"
48YxSlb23RAaCd4RyHcV9V,"[adult standards, brill building pop, british blues, british invasion, bubblegum pop, christmas, classic rock, folk, folk rock, mellow gold, merseybeat, rock-and-roll, rockabilly, soft rock]"
1Pe5hlKMCTULjosqZ6KanP,"[brill building pop, chicago soul, classic funk rock, disco, funk, memphis soul, motown, northern soul, quiet storm, rock-and-roll, soul, soul blues, soul christmas, southern soul]"
2lxX1ivRYp26soIavdG9bX,"[album rock, art rock, blues, blues-rock, british blues, british invasion, bubblegum pop, chicago blues, classic funk rock, classic rock, delta blues, electric blues, folk rock, hard rock, mellow gold, psychedelic rock, rock, rock-and-roll, rockabilly, roots rock, singer-songwriter, soft rock, symphonic rock, texas blues, traditional blues]"
4QmkLL9JOqM9dusHS1Hghe,"[adult standards, brill building pop, british blues, british invasion, bubblegum pop, christmas, classic rock, folk rock, merseybeat, motown, rock-and-roll, rockabilly]"
34Ym7wEA9olyXIQ5eRAZjq,[country christmas]
71lGEtP9qYXDsSXjfexTqO,"[adult standards, brill building pop, bubblegum pop, christmas, folk, folk rock, mellow gold, merseybeat, motown, rock-and-roll, rockabilly]"
2VIoWte1HPDbZ2WqHd2La7,"[brill building pop, british blues, bubblegum pop, classic rock, folk rock, mellow gold, psychedelic rock]"
2jgPkn6LuUazBoBk6vvjh5,"[brill building pop, british blues, british invasion, bubblegum pop, classic rock, folk rock, psychedelic rock, rock, roots rock, singer-songwriter]"
6lHC2EQMEMZiEmSfFloarn,"[adult standards, brill building pop, british blues, british invasion, bubblegum pop, christmas, folk rock, merseybeat, rock-and-roll]"
26LmRGHptm85F27BZwOSt7,"[adult standards, deep adult standards]"
6VcPriC5JFrXJdtZ7OQjc4,[deep adult standards]
6TKOZZDd5uV5KnyC5G4MUt,"[brill building pop, chicago soul, classic funk rock, disco, funk, memphis soul, motown, quiet storm, rock-and-roll, soul, soul blues, soul christmas, southern soul]"
4cPHsZM98sKzmV26wlwD2W,"[adult standards, brill building pop, bubblegum pop, christmas, country christmas, cowboy western, easy listening, lounge, merseybeat, nashville sound, rock-and-roll, rockabilly, traditional country, vocal jazz]"
2HBbky0Z08ZcCKVsXWbNE4,"[brill building pop, british invasion, bubblegum pop, folk rock, merseybeat]"
5gPEo032lzARtzuVqJIm9o,"[adult standards, brill building pop, bubblegum pop, christmas, easy listening, folk rock, lounge, mellow gold, merseybeat, nashville sound, rock-and-roll, soft rock]"
6lHC2EQMEMZiEmSfFloarn,"[adult standards, brill building pop, british blues, british invasion, bubblegum pop, christmas, folk rock, merseybeat, rock-and-roll]"
7fIvjotigTGWqjIz6EP1i4,"[adult standards, brill building pop, chicago soul, christmas, classic funk rock, classic rock, disco, folk rock, mellow gold, memphis soul, motown, quiet storm, rock-and-roll, soft rock, soul, soul blues, soul christmas, southern soul]"
4GpIeE34rBNFppvYsWle9c,"[adult standards, brill building pop, british blues, british invasion, bubblegum pop, folk rock, merseybeat, rock-and-roll]"
5xmR290ICxOdWvyGENs2Aq,[]
3ICflSq6ZgYAIrm2CTkfVP,"[album rock, blues-rock, british blues, british invasion, classic rock, folk rock, hard rock, mellow gold, protopunk, psychedelic rock, rock, rock-and-roll, roots rock, singer-songwriter, soft rock]"
4DQj1q0unpi9KF8jO1Wqks,"[brill building pop, british blues, bubblegum pop, classic garage rock, classic rock, country rock, folk rock, freakbeat, merseybeat, psychedelic rock, traditional folk]"
22bE4uQ6baNwSHPVcDxLCe,"[album rock, british invasion, classic rock, folk rock, mellow gold, protopunk, rock, singer-songwriter]"
7CCn4PFRRRZF127jtCBAUe,"[brill building pop, bubblegum pop, christmas, classic funk rock, classic rock, folk, folk rock, mellow gold, merseybeat, motown, psychedelic rock, rock, rock-and-roll, roots rock, singer-songwriter, soft rock, traditional folk]"
72OaDtakiy6yFqkt4TsiFt,"[dance pop, disco, hollywood, new wave pop, pop, pop christmas, pop rock]"
