"""somethin stupid""","""4feXcsElKIVsGwkbnTHAfV"""
"""happy together""","""1JO1xLtVc8mWhIoE3YaCL0"""
"""groovin""","""3c2kMiSB86tVq1J4oULmvL"""
"""cant take my eyes off you""","""7eNEiO4RkrzjWJVBPOEJ1d"""
"""little bit o soul""","""6hB3S9Soxx8owlTO8ETvhF"""
"""i think were alone now""","""3AXDLGI5TIYi72JcYFvNpv"""
"""respect""","""5AoTuHE5P5bvC7BBppYnja"""
"""i was made to love her""","""2aCKBrLn7rbhStk5k4FwnF"""
"""come back when you grow up""","""0mxTuoTdOc7cJZYAqCiGG8"""
"""kind of a drag""","""5NfMMASaRz01fltWjbYoLu"""
"""sweet soul music""","""0pvA063uNyGQFp7DNtmk0P"""
"""expressway to your heart""","""6QwPE42qApdXHG7SXcirSt"""
"""soul man""","""6eJlEcRmeyQfTlDQBDyqkW"""
"""never my love""","""6E4AJJEYIxog9tLhhkHhIJ"""
"""apples peaches pumpkin pie""","""0LpcKg3mT5Zvrkq8GyqBZs"""
"""come on down to my boat""","""4TNSKn822wrCkIwcDPtX4S"""
"""incense and peppermints""","""20MBLB1TCm3tQK3XZlHXTK"""
"""ruby tuesday""","""4hupcimlg3UBbW1kAQ6vrT"""
"""it must be him""","""6XVpKaD3oxpA2ohiLyTGPC"""
"""love is here and now youre gone""","""5HZSDXEb70PqLwLDhAOMM9"""
"""for what its worth""","""1qRA5BS78u3gME0loMl9AA"""
"""gimme little sign""","""3yJ37B8pPZwZL2tnzjWy9A"""
"""the happening""","""6WGtWrzsyCtHjUod3dKbIU"""
"""all you need is love""","""68BTFws92cRztMS1oQ7Ewj"""
"""release me""","""0Si6MQzSdOyfWTy0LP5ojD"""
"""your precious love""","""0JWeCKQU60BPmDkYFa9zN3"""
"""somebody to love""","""4uGIJG1jYFonGc4LGp5uQL"""
"""get on up""","""1i7G789pL6QVoU9JXSESjy"""
"""brown eyed girl""","""3yrSvpt2l1xhsV9Em88Pul"""
"""jimmy mack""","""7N3UAu6FkwdBg9J7OONBBP"""
"""i got rhythm""","""3Wg198R36q3E7s6eUNJbFj"""
"""a whiter shade of pale""","""3qitymULqEibr7yknRMKU4"""
"""dont you care""","""5QNlCdDeOL1WCFBc6aG8VU"""
"""then you can tell me goodbye""","""7aRDgHf1tmDTdmtYjbhyDH"""
"""reflections""","""4QNviFJLZ8SrjhkTkDbvyU"""
"""on a carousel""","""0zV8gHHcSVDy9czQWrztC3"""
"""please love me forever""","""4YNKYvRIvrIqcrJNv1u4v0"""
"""alfie""","""5eeZr5k6eprE1NToNTZuxs"""
"""silence is golden""","""5qCOYobWa17w0lNjl8Vb0m"""
"""my cup runneth over""","""40BvPdq2rwYIoioUgjKHoK"""
"""up up and away""","""3JdToGxgvH9SnO1a605Ztr"""
"""san francisco be sure to wear flowers in your hair""","""6UsdldEfcEXSID2G3nA89J"""
"""the rain the park  other things""","""0sOoGrE5PY5EBDQnR7Yysu"""
"""theres a kind of hush""","""4P0As0E8QfskHuiFTGQHHl"""
"""mercy mercy mercy""","""6un3zjWCZNU3SgNBrIviXX"""
"""this is my song""","""19bB1aXA6XcATDhWwQFoWN"""
"""your love keeps lifting me higher and higher""","""4TBBPZks71c60whhq0PgdP"""
"""ive been lonely too long""","""38XYQYKfwZNMmBEcLZ4Zvk"""
"""penny lane""","""57YeN4L1zAYvnIlLwL3hp6"""
"""youre my everything""","""3GPj3XfdsrWSvlMWcsJKrZ"""
"""georgy girl""","""73XQBWHSVLL1939hb8cQTm"""
"""western union""","""6hUwbd2mAHCtcNaQRgYd79"""
"""baby i love you""","""2vWpexnqyNzFoUpmLHxGVb"""
"""a little bit me a little bit you""","""0LQhKGlQZrR6PRWLUFZfII"""
"""california nights""","""3ZJMhWsMQw6QaCLFsySB2q"""
"""dedicated to the one i love""","""1mFrjW8e8fuAOowlU3Q3Dr"""
"""how can i be sure""","""4NnhLA66RRLXxKbiiscU9R"""
"""carrie anne""","""7JDSbEyUqPxlmRPyP9O86F"""
"""we aint got nothin yet""","""6cQdZhnwKIeLud5qTD7BuQ"""
"""friday on my mind""","""2CT08rpgdut8qQs7IAzMGi"""
"""soul finger""","""085diW9d1iWe9qeNQiDYOw"""
"""gimme some lovin""","""3qCHUm73I3o5F1mDEfibzo"""
"""let it out let it all hang out""","""4CrDR6TFRinNTCMG3DNl2n"""
"""lets live for today""","""2IobDyMywYgrJAdLpRvqvT"""
"""close your eyes""","""0d9rN4NbUgOtuPyQa2286E"""
"""groovin""","""29bU062RLWPo6OR6rjonrN"""
"""funky broadway""","""4Kj7BJGxHXqNiAGXVD2xAH"""
"""pleasant valley sunday""","""0O0ccjfbxoW3FBCXznYDJJ"""
"""i never loved a man the way i love you""","""1hES47PrbU8GPTI5A9lsr0"""
"""tell it like it is""","""7GSRH3L0HAM3StkAkYVamC"""
"""cold sweat""","""2bOKnqAlcCya8eThHd9CGO"""
"""shed rather be with me""","""7Ko8eQ58gmHF8m3drHGUZT"""
"""986""","""6ga2CNQzcbhh3r1LfkIIQu"""
"""here we go again""","""1bhuvevmcDLS2fyLjIqSDW"""
"""white rabbit""","""4vpeKl0vMGdAXpZiQB2Dtd"""
"""bernadette""","""4j7Ehav8SUUgSePBptGxTi"""
"""the beat goes on""","""2tuWxZctCHB4ETgPE8rb34"""
"""snoopy vs the red baron""","""6qF3qHvzEmh7bkdBatxQuS"""
"""societys child""","""4ygQFe0kTwEQYUc0SjMr58"""
"""girl youll be a woman soon""","""1BmVQ5RGqqtF5cnsv6cQYu"""
"""aint no mountain high enough""","""1LeWIs2hP2r5yOQnVuYoI5"""
"""i take it back""","""4Gfh3UErGeWmTpm1IS6iT4"""
"""here comes my baby""","""4jKq3767lb2mWKCvas6E7Z"""
"""everlasting love""","""7ge0HL4AErY9LtkVRrWJl7"""
"""i dig rock and roll music""","""5pDM1xfBg3IL1yMvroLW88"""
"""i had too much to dream last night""","""5YgCmkSdGukXqK3fJlX4pQ"""
"""daydream believer""","""7uEcCGtM1FBBGIhPozhJjv"""
"""baby i need your lovin""","""1OdFAYq591cuGvEu5wSPIA"""
"""mirage""","""4wg2fVMukZI9BFnL64NpGj"""
"""green green grass of home""","""5BFWQXNGPYadZxNKxY1UfU"""
"""i can see for miles""","""2nlSeJ6CgvWeVOkrLmadf6"""
"""dont sleep in the subway""","""1ljijVo7rDHSuXIhydPpNl"""
"""thank the lord for the night time""","""2e6Y15ForlTdgOuQyFmIJ9"""
"""hey jude""","""0aym2LBJBk9DAYuHHutrIl"""
"""love is blue""","""0tS7Mli5NtOcpeCqC25GWd"""
"""honey""","""3ZnlYvqCnjJ7OeZhVKkWPg"""
"""sittin on the dock of the bay""","""3zBhihYUHBmGd2bcQIobrF"""
"""people got to be free""","""49oQUbmhXqjGb850ERxtfb"""
"""sunshine of your love""","""6FRwDxXsvSasw0y2eDArsz"""
"""this guys in love with you""","""7a3g7jILDCvADVN9NQIyYj"""
"""the good the bad and the ugly""","""5c3SBfvWYFtf5FQiNkg6FV"""
"""mrs robinson""","""0iOZM63lendWRTTeKhZBSC"""
"""tighten up""","""6IIcvtmuGpWIasqOpyGlyY"""
"""harper valley pta""","""2sZIclzhHlH8tzf7wry9hK"""
"""mony mony""","""23xk9Rf7oIHVUU1JvmXYFn"""
"""hello i love you""","""3bWGaqVeYKMlLss40mPgNn"""
"""young girl""","""3F64pIPqvcujnwvcVLVZ64"""
"""cry like a baby""","""6e5dOtgCiKkITJxtWSuLBE"""
"""stoned soul picnic""","""1bKQeepTAEYlpn8wpL7iDn"""
"""grazing in the grass""","""4ewr2YZx2pXsxDTC4mWFob"""
"""midnight confessions""","""6ljvK0SmaKjIBsPddKqaTo"""
"""dance to the music""","""1MQWtVcs0PKsY4PA6ZvLiy"""
"""the horse""","""2FCiuaXNE1kjwSoAvso4vT"""
"""i wish it would rain""","""2dQx3sIylsbvagZCNf69h4"""
"""lala means i love you""","""0DXPAtv9Vt7WqmVg48MWQv"""
"""turn around look at me""","""6w8Pnj2aUSJysc0b5FSJyr"""
"""judy in disguise with glasses""","""0QvMXCVPXSSWx2NB9ewx6O"""
"""spooky""","""5z4iT44mMHyZozsTFy4A51"""
"""love child""","""0pOpAQ7568dzOsuwbcc7Bv"""
"""angel of the morning""","""27QxL30kLR6RyIjLXCMFdU"""
"""the ballad of bonnie and clyde""","""1C2K7ouw8OYXVThAnSXID9"""
"""those were the days""","""6NmdCdQGOBVxVLIIJdPw3z"""
"""born to be wild""","""3lN8PP6R2IxbLP05QpYXng"""
"""cowboys to girls""","""6n3WVi0pxFQuAjAQRPPryY"""
"""simon says""","""5IIwfioAOLmPFkD6ESOmvJ"""
"""lady willpower""","""2v32CGfALncxmdlF4JbKZ4"""
"""a beautiful morning""","""3QwbKe0s8TcNclzXAXHeHy"""
"""the look of love""","""1K7LFIrrh92iEK5UMSWJ9O"""
"""hold me tight""","""21ErYfB6YWSahxw9l9jBMA"""
"""yummy yummy yummy""","""6WvbMOjKf5y3CAHn4ubwlp"""
"""fire""","""44Y5Yh5OSciJB6ODlAhlHo"""
"""love is all around""","""5dssPp9k7Fc4zeyFWaObFM"""
"""playboy""","""6i8vSynhmiC0N2Y5drMxgP"""
"""theme from valley of the dolls""","""021O8Fvrww2EJB8220tgXo"""
"""classical gas""","""48oT10cTda4pZUlYfqxlPR"""
"""slip away""","""7r3Hwig1mvtlVq0ZbJ09Wb"""
"""im a girl watcher""","""2PrHT0BS7GCzQmNOpaBmSA"""
"""sweet sweet baby since youve been gone""","""3lrSnngQqNWgvQmcFbCJCx"""
"""green tambourine""","""70jnaGaj1rtpyABfUURpvr"""
"""1 2 3 red light""","""70Fh5TuuER28hcq407Xxqc"""
"""reach out of the darkness""","""3DrlHWCoFqHQYGwE8MWsuv"""
"""jumpin jack flash""","""55LRDFmsuazr533WrtHHW9"""
"""macarthur park""","""5DBEFajBEaHgbbwe7oN0KP"""
"""light my fire""","""2wWdwNwfYiI7bSCGYtq0Un"""
"""i love you""","""6MRk3kgWP6FjizqhjyiAMR"""
"""take time to know her""","""1JI9q9tRbtgZ0QSoAaGQtk"""
"""pictures of matchstick men""","""0MRs5O62wfDgf5cQKalrPq"""
"""summertime blues""","""6iWaf45YIhj0YT8GFGxsw0"""
"""aint nothing like the real thing""","""37soQoNhEEIrhhYgHWK1xU"""
